2,"[1, 1]"
3,"[1, 3, 2]"
4,"[1, 3, 5, 6, 5, 3, 1]"
5,"[1, 3, 6, 10, 16, 24, 29, 21, 6, 3, 1]"
6,"[1, 3, 6, 11, 20, 35, 55, 81, 109, 128, 126, 95, 40, 6, 3, 1]"
7,"[1, 3, 6, 12, 22, 42, 73, 124, 203, 303, 425, 559, 678, 713, 746, 611, 355, 122, 28, 10, 3, 1]"
8,"[1, 3, 6, 12, 23, 44, 80, 142, 247, 411, 662, 1019, 1481, 2059, 2745, 3465, 4126, 4633, 4913, 4777, 4163, 3079, 1612, 488, 94, 25, 6, 3, 1]"
9,"[1, 3, 6, 12, 24, 46, 85, 156, 283, 492, 845, 1415, 2258, 3476, 5188, 7448, 10303, 13816, 17827, 22311, 26810, 31091, 34664, 36935, 37516, 35651, 31354, 23197, 13382, 4680, 1212, 268, 88, 25, 8, 3, 1]"
10,"[1, 3, 6, 12, 24, 47, 87, 161, 297, 528, 927, 1611, 2726, 4492, 7184, 11109, 16751, 24624, 35105, 48718, 66154, 87373, 111996, 140388, 171657, 204213, 236429, 266276, 291271, 308831, 316158, 310824, 290837, 254374, 199563, 129134, 61718, 20467, 5183, 1116, 302, 92, 21, 6, 3, 1]"
11,"[1, 3, 6, 12, 24, 48, 89, 166, 309, 560, 1001, 1776, 3097, 5314, 8937, 14618, 23293, 36288, 55172, 81871, 118838, 169112, 235115, 319961, 427229, 559464, 716979, 903686, 1116773, 1352909, 1609076, 1880395, 2148532, 2408704, 2650204, 2844421, 2980448, 3049721, 3017424, 2878200, 2626374, 2235627, 1702643, 1044515, 475424, 155851, 42082, 10262, 2835, 937, 328, 100, 32, 10, 3, 1]"
